City,Date,PM2.5,PM10,NO,NO2,NH3,CO,SO2,O3,AQI
Delhi,2015-01-01,1.0,1.0,1.0,0.39357581994962487,0.8205886258816407,1.0,0.23292830707758813,0.4771188031596124,0.2227698373583046
Delhi,2015-01-02,1.0,1.0,1.0,0.3554424071716816,0.7716054986865781,1.0,0.16480529263419905,0.34183887131944146,0.21389847215377034
Delhi,2015-01-03,0.5392248405526455,0.6425474079347615,0.5197934595524958,0.3277090160604501,1.0,1.0,0.06000065502898502,0.22331008390012852,0.06062099556431741
Delhi,2015-01-04,0.9485495434187414,1.0,0.5052141338463098,0.39920916501909376,1.0,1.0,0.11187895064356596,0.2885817845745065,0.14736323311976343
Delhi,2015-01-05,0.9153781632297784,1.0,0.2824744355573555,0.37765078677247244,1.0,1.0,0.0778174434218714,0.26362835564412485,0.1503203548546082
Delhi,2015-01-06,0.9342428031082346,1.0,0.3472714386959604,0.40928418600872085,1.0,1.0,0.08646382602430157,0.30556397926323847,0.14687037949728932
Delhi,2015-01-07,1.0,1.0,0.5453072795383215,0.4343092381442461,1.0,1.0,0.14305833033111715,0.3301708327918093,0.1641202562838837
Delhi,2015-01-08,1.0,1.0,0.47139819783335024,0.46691763941174874,1.0,1.0,0.07729342023384533,0.3480772285520369,0.17890586495810745
Delhi,2015-01-09,1.0,1.0,0.38716209375316396,0.4170842022587547,1.0,1.0,0.08174761733206692,0.3761498360987162,0.17496303597831445
Delhi,2015-01-10,1.0,1.0,0.5007593398805307,0.5019093789778728,1.0,1.0,0.14541643467723445,0.38978180190327655,0.1754558896007886
Delhi,2015-01-11,1.0,1.0,0.5750734028551181,0.5116593992904152,1.0,1.0,0.13572200569875215,0.5775101445508238,0.17693445046821096
Delhi,2015-01-12,1.0,1.0,0.5003543586109144,0.4837093410611272,1.0,1.0,0.12602757672026985,0.45863478172970007,0.17496303597831445
Delhi,2015-01-13,1.0,1.0,0.6929229523134557,0.49638436746743225,1.0,1.0,0.14646448105328658,0.45239642449710465,0.17052735337604732
Delhi,2015-01-14,1.0,1.0,0.4195605953224664,0.4453592611651274,1.0,1.0,0.11764320571185272,0.48139323311527965,0.1641202562838837
Delhi,2015-01-15,1.0,1.0,0.9689176875569506,0.6136012783359965,1.0,1.0,0.17240362886057706,0.49525624918771394,0.15771315919172008
Delhi,2015-01-16,1.0,1.0,0.8559279133340084,0.5346261138044037,1.0,1.0,0.11345102020764418,0.3964822596716199,0.1655988171513061
Delhi,2015-01-17,1.0,1.0,0.8528905538118864,0.5739511957316578,1.0,1.0,0.12497953034421772,0.29331831506592154,0.16757023164120258
Delhi,2015-01-18,1.0,1.0,0.9203199352029969,0.5818595455407198,1.0,1.0,0.13283987816460874,0.26385940591199875,0.17249876786594384
Delhi,2015-01-19,1.0,1.0,0.5519894704869901,0.43138423205048343,1.0,1.0,0.10087446369501848,0.2883507343066326,0.16855593888615084
Delhi,2015-01-20,1.0,1.0,0.33228713172015795,0.3701757711995233,1.0,1.0,0.09825434775488814,0.2577365738133403,0.15771315919172008
Delhi,2015-01-21,0.9972937471315303,1.0,0.24724106510073912,0.24375050781355792,1.0,1.0,0.17528575639472044,0.210024693497379,0.15672745194677182
Delhi,2015-01-22,0.8968933483153183,0.911733868358035,0.29745874253315785,0.2357338244454676,0.961233248520929,1.0,0.21694559984279302,0.07578448786264061,0.15377033021192707
Delhi,2015-01-23,0.8022536281197082,0.6641382434793864,0.2415713273261112,0.18730872355984077,0.969235442567647,1.0,0.16794943176235544,0.12164796603561062,0.1153277476589453
Delhi,2015-01-24,1.0,0.9952494984143421,0.20897033512200064,0.17019202123337757,0.9398940643963474,1.0,0.2234958896931189,0.10362604514144608,0.14982750123213406
Delhi,2015-01-25,0.9279756912023045,1.0,0.2381289865343728,0.225008802101671,1.0,1.0,0.14672649264729962,0.18795939291542113,0.15426318383440119
Delhi,2015-01-26,0.8061151819203319,0.6734062520225229,0.2510883871620938,0.2773339111123148,1.0,1.0,0.1682114433563685,0.20563473840777483,0.13405618531296207
Delhi,2015-01-27,0.9634893253359078,1.0,0.29057406094968113,0.3285756845326761,0.9929995339791131,1.0,0.15877902597189922,0.19327354907652095,0.14687037949728932
Delhi,2015-01-28,0.8394131704306267,0.7719888680344315,0.3827072997873849,0.30918397746661974,1.0,1.0,0.12707562309632198,0.17155482389637394,0.13553474618038444
Delhi,2015-01-29,1.0,1.0,0.46734838513718746,0.4147008639601333,1.0,1.0,0.1354599941047391,0.18380048809369087,0.15130606209955644
Ahmedabad,2015-01-29,0.5135866554829317,0.5712360516770764,0.13911106611319227,0.3103756466159304,0.5692100304787852,1.0,0.9999999999999998,0.6859882453176219,0.09314933464760967
Ahmedabad,2015-01-30,0.49275958662383096,0.5712360516770764,0.27923458540042523,0.3100506459388457,0.5692100304787852,1.0,0.9999999999999998,0.9999999999999999,0.15179891572203058
Delhi,2015-01-30,1.0,1.0,0.39971651311126866,0.41567586599138745,1.0,1.0,0.15904103756591226,0.16785801961039148,0.1601774273040907
Delhi,2015-01-31,0.9912798518682643,1.0,0.619823833147717,0.4474175987866641,1.0,1.0,0.12235941440408737,0.19789455443399906,0.15475603745687533
Ahmedabad,2015-01-31,0.5856900944814599,0.5712360516770764,0.492659714488205,0.35316740243208833,0.5692100304787852,1.0,0.9999999999999998,0.9999999999999999,0.24346968950221784
Ahmedabad,2015-02-01,0.8482124487631952,0.5712360516770764,0.8792143363369445,0.45521761503669794,0.5692100304787852,1.0,0.9999999999999998,0.9999999999999999,0.3755544603252834
